Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Mercury Grand Marquis,16.5,8,351,138,3955,13.2,79,US
Dodge St. Regis,18.2,8,318,135,3830,15.2,79,US
Buick Estate Wagon (sw),16.9,8,350,155,4360,14.9,79,US
Ford Country Squire (sw),15.5,8,351,142,4054,14.3,79,US
Chevrolet Malibu Classic (sw),19.2,8,267,125,3605,15,79,US
Chrysler Lebaron Town @ Country (sw),18.5,8,360,150,3940,13,79,US
Volkswagen Rabbit Custom,31.9,4,89,71,1925,14,79,Europe
Mazda GLC Deluxe,34.1,4,86,65,1975,15.2,79,Japan
Dodge Colt Hatchback Custom,35.7,4,98,80,1915,14.4,79,US
AMC Spirit DL,27.4,4,121,80,2670,15,79,US
Mercedes Benz 300d,25.4,5,183,77,3530,20.1,79,Europe
Cadillac Eldorado,23,8,350,125,3900,17.4,79,US
Peugeot 504,27.2,4,141,71,3190,24.8,79,Europe
Oldsmobile Cutlass Salon Brougham,23.9,8,260,90,3420,22.2,79,US
Plymouth Horizon,34.2,4,105,70,2200,13.2,79,US
Plymouth Horizon TC3,34.5,4,105,70,2150,14.9,79,US
Datsun 210,31.8,4,85,65,2020,19.2,79,Japan
Fiat Strada Custom,37.3,4,91,69,2130,14.7,79,Europe
Buick Skylark Limited,28.4,4,151,90,2670,16,79,US
Chevrolet Citation,28.8,6,173,115,2595,11.3,79,US
Oldsmobile Omega Brougham,26.8,6,173,115,2700,12.9,79,US
Pontiac Phoenix,33.5,4,151,90,2556,13.2,79,US
Volkswagen Rabbit,41.5,4,98,76,2144,14.7,80,Europe
Toyota Corolla Tercel,38.1,4,89,60,1968,18.8,80,Japan
Chevrolet Chevette,32.1,4,98,70,2120,15.5,80,US
Datsun 310,37.2,4,86,65,2019,16.4,80,Japan
Chevrolet Citation,28,4,151,90,2678,16.5,80,US
Ford Fairmont,26.4,4,140,88,2870,18.1,80,US
AMC Concord,24.3,4,151,90,3003,20.1,80,US
Dodge Aspen,19.1,6,225,90,3381,18.7,80,US
Audi 4000,34.3,4,97,78,2188,15.8,80,Europe
Toyota Corolla Liftback,29.8,4,134,90,2711,15.5,80,Japan
Mazda 626,31.3,4,120,75,2542,17.5,80,Japan
Datsun 510 Hatchback,37,4,119,92,2434,15,80,Japan
Toyota Corolla,32.2,4,108,75,2265,15.2,80,Japan
Mazda GLC,46.6,4,86,65,2110,17.9,80,Japan
Dodge Colt,27.9,4,156,105,2800,14.4,80,US
Datsun 210,40.8,4,85,65,2110,19.2,80,Japan
Volkswagen Rabbit C (Diesel),44.3,4,90,48,2085,21.7,80,Europe
Volkswagen Dasher (diesel),43.4,4,90,48,2335,23.7,80,Europe
Audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,Europe
Mercedes-Benz 240d,30,4,146,67,3250,21.8,80,Europe
Honda Civic 1500 gl,44.6,4,91,67,1850,13.8,80,Japan
Renault Lecar Deluxe,40.9,4,85,0,1835,17.3,80,Europe
Subaru DL,33.8,4,97,67,2145,18,80,Japan
Volkswagen Rabbit,29.8,4,89,62,1845,15.3,80,Europe
Datsun 280-ZX,32.7,6,168,132,2910,11.4,80,Japan
Mazda RX-7 GS,23.7,3,70,100,2420,12.5,80,Japan
Triumph TR7 Coupe,35,4,122,88,2500,15.1,80,Europe
Ford Mustang Cobra,23.6,4,140,0,2905,14.3,80,US
Honda Accord,32.4,4,107,72,2290,17,80,Japan
Plymouth Reliant,27.2,4,135,84,2490,15.7,81,US
Buick Skylark,26.6,4,151,84,2635,16.4,81,US
Dodge Aries Wagon (sw),25.8,4,156,92,2620,14.4,81,US
Chevrolet Citation,23.5,6,173,110,2725,12.6,81,US
Plymouth Reliant,30,4,135,84,2385,12.9,81,US
Toyota Starlet,39.1,4,79,58,1755,16.9,81,Japan
Plymouth Champ,39,4,86,64,1875,16.4,81,US
Honda Civic 1300,35.1,4,81,60,1760,16.1,81,Japan
Subaru,32.3,4,97,67,2065,17.8,81,Japan
Datsun 210 MPG,37,4,85,65,1975,19.4,81,Japan
Toyota Tercel,37.7,4,89,62,2050,17.3,81,Japan
Mazda GLC 4,34.1,4,91,68,1985,16,81,Japan
Plymouth Horizon 4,34.7,4,105,63,2215,14.9,81,US
Ford Escort 4W,34.4,4,98,65,2045,16.2,81,US
Ford Escort 2H,29.9,4,98,65,2380,20.7,81,US
Volkswagen Jetta,33,4,105,74,2190,14.2,81,Europe
Renault 18i,34.5,4,100,0,2320,15.8,81,Europe
Honda Prelude,33.7,4,107,75,2210,14.4,81,Japan
Toyota Corolla,32.4,4,108,75,2350,16.8,81,Japan
Datsun 200SX,32.9,4,119,100,2615,14.8,81,Japan
Mazda 626,31.6,4,120,74,2635,18.3,81,Japan
Peugeot 505s Turbo Diesel,28.1,4,141,80,3230,20.4,81,Europe
Saab 900s,0,4,121,110,2800,15.4,81,Europe
Volvo Diesel,30.7,6,145,76,3160,19.6,81,Europe
Toyota Cressida,25.4,6,168,116,2900,12.6,81,Japan
Datsun 810 Maxima,24.2,6,146,120,2930,13.8,81,Japan
Buick Century,22.4,6,231,110,3415,15.8,81,US
Oldsmobile Cutlass LS,26.6,8,350,105,3725,19,81,US
Ford Grenada gl,20.2,6,200,88,3060,17.1,81,US
Chrysler Lebaron Salon,17.6,6,225,85,3465,16.6,81,US
Chevrolet Cavalier,28,4,112,88,2605,19.6,82,US
Chevrolet Cavalier Wagon,27,4,112,88,2640,18.6,82,US
Chevrolet Cavalier 2-door,34,4,112,88,2395,18,82,US
Pontiac J2000 SE Hatchback,31,4,112,85,2575,16.2,82,US
Dodge Aries SE,29,4,135,84,2525,16,82,US
Pontiac Phoenix,27,4,151,90,2735,18,82,US
Ford Fairmont Futura,24,4,140,92,2865,16.4,82,US
AMC Concord DL,23,4,151,0,3035,20.5,82,US
Volkswagen Rabbit l,36,4,105,74,1980,15.3,82,Europe
Mazda GLC Custom l,37,4,91,68,2025,18.2,82,Japan
Mazda GLC Custom,31,4,91,68,1970,17.6,82,Japan
Plymouth Horizon Miser,38,4,105,63,2125,14.7,82,US
Mercury Lynx l,36,4,98,70,2125,17.3,82,US
Nissan Stanza XE,36,4,120,88,2160,14.5,82,Japan
Honda Accord,36,4,107,75,2205,14.5,82,Japan
Toyota Corolla,34,4,108,70,2245,16.9,82,Japan
Honda Civic,38,4,91,67,1965,15,82,Japan
Honda Civic (auto),32,4,91,67,1965,15.7,82,Japan
Datsun 310 GX,38,4,91,67,1995,16.2,82,Japan
Buick Century Limited,25,6,181,110,2945,16.4,82,US
Oldsmobile Cutlass Ciera (diesel),38,6,262,85,3015,17,82,US
Chrysler Lebaron Medallion,26,4,156,92,2585,14.5,82,US
Ford Grenada l,22,6,232,112,2835,14.7,82,US
Toyota Celica GT,32,4,144,96,2665,13.9,82,Japan
Dodge Charger 2.2,36,4,135,84,2370,13,82,US
Chevrolet Camaro,27,4,151,90,2950,17.3,82,US
Ford Mustang GL,27,4,140,86,2790,15.6,82,US
Volkswagen Pickup,44,4,97,52,2130,24.6,82,Europe
Dodge Rampage,32,4,135,84,2295,11.6,82,US
Ford Ranger,28,4,120,79,2625,18.6,82,US
Chevy S-10,31,4,119,82,2720,19.4,82,US
